"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://vacationdeals.to/privacy","https://adssettings.google.com/","0","","Google Ads Settings","302","Found","true","_blank","noopener noreferrer","Absolute","//body/main/div/div/section[4]/ul/li[3]/a[1]","Content","HTML"
"Hyperlink","https://vacationdeals.to/privacy","https://optout.networkadvertising.org/","0","","NAI Consumer Opt-Out","301","Moved Permanently","true","_blank","noopener noreferrer","Absolute","//body/main/div/div/section[4]/ul/li[3]/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/vacpack-games/bingo","https://twitter.com/intent/tweet?text=Playing+VacPack+Bingo+🎱+during+our+timeshare+pitch.+Join+me%3A&url=https%3A%2F%2Fvacationdeals.to%2Fvacpack-games%2Fbingo","0","","Share on X","301","Moved Permanently","true","_blank","noopener","Absolute","//body/main/div/div[4]/a","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-vacation-deals-snowbirds","https://vacationdeals.to/blog/best-vacation-deals-retirees","0","","Retiree vacation guide","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[3]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-vacation-deals-empty-nesters","https://vacationdeals.to/blog/best-vacation-deals-anniversary-trips","0","","Anniversary trip ideas","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[3]","Content","HTML"
"Hyperlink","https://vacationdeals.to/getawaydealz-review","https://vacationdeals.to/blog/bookvip-vs-getawaydealz","0","","BookVIP vs GetawayDealz comparison","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[17]/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/getawaydealz-review","https://vacationdeals.to/blog/bookvip-vs-getawaydealz","0","","BookVIP vs GetawayDealz","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-vacation-deals-theme-park-tickets","https://vacationdeals.to/blog/best-vacation-deals-large-families","0","","Family vacation deals","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[3]","Content","HTML"
"Hyperlink","https://vacationdeals.to/hilton-grand-vacations-deals-worth-it","https://vacationdeals.to/blog/westgate-vs-hilton-grand-vacations","0","","Compare with Westgate","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/how-to-get-most-out-timeshare-presentation","https://vacationdeals.to/blog/first-timers-guide-timeshare-vacation-deals","0","","First-timer's complete guide","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[3]","Content","HTML"
